차종,판매 유형,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도,Overseas Plants,차량 구분
Sonata (DN8a),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMMA,
Tucson (NX4a),수출,0,0.0,0.0,0.0,0.0,0.0,1367.0,1166.0,1068.0,1089.0,967.0,1390.0,2024,HMMA,
Tucson OB (NX4a OB),수출,348,563.0,384.0,527.0,313.0,555.0,113.0,289.0,193.0,395.0,230.0,404.0,2024,HMMA,
Santa-Fe (TMa),수출,198,30.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMMA,
Santa-Fe (MX5a),수출,80,1233.0,1829.0,1205.0,965.0,987.0,859.0,883.0,933.0,682.0,646.0,597.0,2024,HMMA,
Santa-Fe (MX5a HEV),수출,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2024,HMMA,
GV70 (JKa),수출,1,0.0,24.0,28.0,24.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2024,HMMA,
GV70 EV (Jka EV),수출,0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,2024,HMMA,
Ioniq5 (NEa),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.0,2024,HMGMA,
Ioniq5 (NEa),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMGMA,
i30 (PDe),수출,5861,4863.0,5174.0,4489.0,6022.0,5711.0,5149.0,3594.0,5238.0,4410.0,1980.0,2344.0,2024,HMMC,
i30 (Pde N),수출,942,1000.0,1184.0,984.0,249.0,58.0,333.0,226.0,207.0,282.0,62.0,19.0,2024,HMMC,
Kona EV (OSe EV),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMMC,
Kona EV (SX2e EV),수출,3286,3146.0,2868.0,2944.0,2859.0,3118.0,2740.0,2393.0,2160.0,1938.0,3283.0,2114.0,2024,HMMC,
Tucson (TLe),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMMC,
Tucson (NX4e),수출,12572,12653.0,10559.0,12803.0,13623.0,9964.0,9855.0,7761.0,12198.0,10991.0,12071.0,11598.0,2024,HMMC,
Tucson HEV (NX4e HEV),수출,5763,5563.0,5266.0,6871.0,6535.0,6966.0,5476.0,4884.0,7113.0,7961.0,7339.0,5391.0,2024,HMMC,
Tucson PHEV (NX4e PHEV),수출,2209,1636.0,1338.0,2048.0,2107.0,2015.0,2226.0,1452.0,1860.0,2009.0,1571.0,1183.0,2024,HMMC,
Solaris (HCr),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMMR,
Creta (SU2r),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMMR,
Solaris (HCr),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMMR,
Creta (SU2r),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMMR,
HB20 (BR2),내수,5752,6756.0,10697.0,10386.0,10483.0,11871.0,10270.0,11975.0,12370.0,15261.0,14248.0,9420.0,2024,HMB,
Creta (GSb),내수,534,877.0,362.0,1005.0,890.0,1341.0,1343.0,1192.0,568.0,341.0,13.0,16.0,2024,HMB,
Creta (SU2b),내수,4139,3261.0,4320.0,4472.0,4485.0,5490.0,5374.0,5840.0,3880.0,7068.0,7165.0,6859.0,2024,HMB,
HB20 (BR2),수출,310,1069.0,862.0,930.0,760.0,1300.0,721.0,1197.0,716.0,1031.0,1370.0,996.0,2024,HMB,
Creta (GSb),수출,0,0.0,48.0,89.0,56.0,64.0,64.0,56.0,56.0,40.0,48.0,0.0,2024,HMB,
Creta (SU2b),수출,32,184.0,72.0,268.0,171.0,106.0,209.0,0.0,345.0,285.0,172.0,179.0,2024,HMB,
Stargazer (KS),내수,1615,1964.0,1063.0,755.0,589.0,1223.0,600.0,782.0,618.0,715.0,722.0,1039.0,2024,HMMI,
Kona EV (SX2id EV),내수,0,0.0,0.0,0.0,0.0,0.0,304.0,165.0,170.0,176.0,434.0,124.0,2024,HMMI,
IONIQ5 (NE),내수,752,236.0,28.0,27.0,11.0,76.0,62.0,92.0,27.0,44.0,77.0,978.0,2024,HMMI,
IONIQ5 (NEid N),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,10.0,33.0,2024,HMMI,
